"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","2.390","2.600","2.680","2.300","6.85M","-8.78%"
"09/01/2024","2.620","2.340","2.630","2.220","159.52M","11.49%"
"08/01/2024","2.350","2.420","2.490","2.010","90.18M","-2.89%"
"07/01/2024","2.420","2.470","2.610","2.370","125.92M","-2.42%"
"06/01/2024","2.480","2.920","2.950","2.200","293.36M","-11.11%"
"05/01/2024","2.790","2.780","3.850","2.740","268.51M","0.00%"
"04/01/2024","2.790","2.790","3.236","2.650","185.34M","1.09%"
"03/01/2024","2.760","2.790","3.180","2.460","229.90M","-0.72%"
"02/01/2024","2.780","2.830","2.880","2.550","135.57M","-0.36%"
"01/01/2024","2.790","3.500","3.625","2.790","216.06M","-21.19%"
"12/01/2023","3.540","3.680","4.440","3.480","146.49M","-3.54%"
"11/01/2023","3.670","3.560","3.830","3.470","64.25M","2.51%"
"10/01/2023","3.580","4.690","4.700","3.280","126.51M","-23.99%"
"09/01/2023","4.710","5.620","5.750","4.490","167.16M","-15.29%"
"08/01/2023","5.560","5.110","5.640","4.275","115.91M","9.02%"
"07/01/2023","5.100","5.510","5.549","4.615","102.83M","-7.78%"
"06/01/2023","5.530","5.300","5.720","4.710","122.99M","3.36%"
"05/01/2023","5.350","3.890","5.510","3.850","100.93M","36.83%"
"04/01/2023","3.910","4.640","4.690","3.830","77.62M","-14.25%"
"03/01/2023","4.560","3.880","4.700","3.429","157.41M","17.53%"
"02/01/2023","3.880","4.260","4.780","3.740","109.91M","-8.71%"
"01/01/2023","4.250","3.350","4.410","3.270","146.60M","30.37%"
"12/01/2022","3.260","4.880","5.280","3.170","163.46M","-33.06%"
"11/01/2022","4.870","4.750","5.140","4.190","134.23M","4.51%"
"10/01/2022","4.660","4.760","5.050","3.940","134.16M","-0.85%"
"09/01/2022","4.700","5.890","6.210","4.680","121.92M","-20.88%"
"08/01/2022","5.940","6.080","7.200","5.930","123.64M","-3.10%"
"07/01/2022","6.130","5.400","6.251","5.255","117.73M","13.73%"
"06/01/2022","5.390","6.040","6.210","5.000","207.51M","-10.91%"
"05/01/2022","6.050","5.690","6.770","4.701","226.99M","5.77%"
"04/01/2022","5.720","6.900","7.180","5.570","137.21M","-23.32%"
"03/01/2022","7.460","6.880","7.970","5.880","188.58M","8.59%"
"02/01/2022","6.870","8.235","8.350","5.800","152.14M","-16.52%"
"01/01/2022","8.230","9.320","9.490","7.400","177.37M","-11.98%"
"12/01/2021","9.350","9.690","9.690","8.420","215.11M","-1.79%"
"11/01/2021","9.520","10.820","12.390","9.320","165.20M","-11.85%"
"10/01/2021","10.800","9.790","11.910","9.100","199.32M","11.00%"
"09/01/2021","9.730","11.450","12.012","9.240","212.28M","-14.72%"
"08/01/2021","11.410","10.200","11.680","9.480","203.46M","12.30%"
"07/01/2021","10.160","12.180","12.390","9.640","198.73M","-16.86%"
"06/01/2021","12.220","11.230","20.170","10.520","2.14B","21.35%"
"05/01/2021","10.070","8.890","12.090","7.705","304.11M","14.04%"
"04/01/2021","8.830","8.590","9.670","8.040","211.23M","4.74%"
"03/01/2021","8.430","10.290","12.515","8.360","403.24M","-16.12%"
"02/01/2021","10.050","14.640","15.540","9.630","664.20M","-28.72%"
"01/01/2021","14.100","6.700","28.770","6.515","2.01B","112.67%"
"12/01/2020","6.630","8.360","9.690","6.600","891.96M","12.95%"
"11/01/2020","5.870","4.500","6.200","4.450","85.74M","30.73%"
"10/01/2020","4.490","4.590","5.250","4.370","88.36M","-2.18%"
"09/01/2020","4.590","5.250","5.655","4.490","105.40M","-12.07%"
"08/01/2020","5.220","4.730","5.320","4.660","66.44M","10.13%"
"07/01/2020","4.740","4.850","5.080","4.450","71.27M","-3.07%"
"06/01/2020","4.890","4.640","5.840","4.585","142.72M","5.39%"
"05/01/2020","4.640","4.150","4.800","3.970","91.08M","8.41%"
"04/01/2020","4.280","3.400","4.425","3.180","124.80M","3.63%"
"03/01/2020","4.130","5.170","5.220","2.700","195.51M","-20.12%"
"02/01/2020","5.170","6.130","6.360","4.950","112.05M","-15.25%"
"01/01/2020","6.100","6.520","6.890","6.060","85.97M","-4.98%"
"12/01/2019","6.420","5.570","6.650","5.330","123.04M","15.26%"
"11/01/2019","5.570","5.290","5.730","5.195","81.03M","5.89%"
"10/01/2019","5.260","5.270","5.490","4.860","117.40M","0.19%"
"09/01/2019","5.250","6.790","7.759","5.100","159.28M","-23.58%"
"08/01/2019","6.870","7.320","7.360","6.640","65.83M","-5.89%"
"07/01/2019","7.300","7.500","7.545","6.895","94.80M","-2.14%"
"06/01/2019","7.460","7.830","9.090","7.100","139.96M","-4.97%"
"05/01/2019","7.850","9.240","9.400","7.790","62.48M","-14.49%"
"04/01/2019","9.180","10.220","10.230","8.760","87.86M","-9.02%"
"03/01/2019","10.090","8.710","10.290","8.575","121.38M","15.98%"
"02/01/2019","8.700","8.100","8.810","8.020","47.76M","7.81%"
"01/01/2019","8.070","7.000","8.180","6.870","59.91M","13.50%"
"12/01/2018","7.110","8.970","9.000","6.570","108.52M","-19.11%"
"11/01/2018","8.790","9.260","9.750","8.230","81.25M","-4.97%"
"10/01/2018","9.250","11.470","11.750","8.630","113.60M","-18.72%"
"09/01/2018","11.380","10.550","12.000","9.670","87.51M","6.65%"
"08/01/2018","10.670","9.800","11.040","9.640","83.15M","8.77%"
"07/01/2018","9.810","9.580","10.630","9.460","89.60M","1.66%"
"06/01/2018","9.650","11.940","12.550","9.520","110.14M","-18.43%"
"05/01/2018","11.830","10.470","12.030","10.315","63.90M","12.99%"
"04/01/2018","10.470","11.360","11.415","10.050","93.36M","-8.96%"
"03/01/2018","11.500","12.150","13.380","11.480","123.78M","-5.27%"
"02/01/2018","12.140","12.620","12.990","11.110","96.59M","-4.11%"
"01/01/2018","12.660","11.250","14.550","11.250","193.88M","13.34%"
"12/01/2017","11.170","10.850","12.360","10.130","114.16M","3.71%"
"11/01/2017","10.770","10.970","11.115","10.060","56.49M","-1.55%"
"10/01/2017","10.940","11.130","11.780","10.640","119.49M","-2.15%"
"09/01/2017","11.180","9.330","11.340","8.890","178.28M","20.60%"
"08/01/2017","9.270","9.380","9.600","8.470","80.33M","-1.17%"
"07/01/2017","9.380","9.980","10.380","9.370","80.21M","-6.11%"
"06/01/2017","9.990","10.660","11.740","9.520","268.86M","-5.49%"
"05/01/2017","10.570","9.340","11.550","9.190","168.15M","13.17%"
"04/01/2017","9.340","7.880","9.365","7.510","219.35M","20.52%"
"03/01/2017","7.750","7.000","8.080","6.650","136.58M","11.35%"
"02/01/2017","6.960","7.080","7.520","6.931","62.99M","-1.42%"
"01/01/2017","7.060","6.930","7.350","6.860","63.91M","2.47%"
"12/01/2016","6.890","7.750","8.050","6.855","146.98M","-10.64%"
"11/01/2016","7.710","7.200","7.830","6.930","85.61M","9.36%"
"10/01/2016","7.050","7.940","8.015","7.000","71.48M","-11.65%"
"09/01/2016","7.980","7.590","8.460","7.150","97.66M","5.14%"
"08/01/2016","7.590","7.580","8.300","7.570","92.24M","-0.13%"
"07/01/2016","7.600","6.740","7.740","6.350","81.37M","13.26%"
"06/01/2016","6.710","7.220","7.490","6.230","91.44M","-7.70%"
"05/01/2016","7.270","7.070","7.320","6.500","73.67M","2.97%"
