"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","15.41","12.00","15.69","11.37","192.55K","27.88%"
"09/01/2024","12.05","11.89","15.23","10.80","2.77M","-0.17%"
"08/01/2024","12.07","10.25","12.59","9.16","2.81M","18.68%"
"07/01/2024","10.17","7.61","10.45","7.12","1.89M","33.99%"
"06/01/2024","7.59","8.03","8.40","7.39","1.24M","-3.92%"
"05/01/2024","7.90","8.99","9.09","7.61","2.31M","-11.34%"
"04/01/2024","8.91","10.34","10.65","8.20","1.92M","-12.48%"
"03/01/2024","10.18","9.37","11.23","8.21","3.22M","7.72%"
"02/01/2024","9.45","8.50","10.09","8.02","2.03M","11.57%"
"01/01/2024","8.47","9.45","9.86","8.39","1.38M","-11.12%"
"12/01/2023","9.53","10.13","10.66","9.20","2.91M","-6.11%"
"11/01/2023","10.15","7.08","10.23","6.91","4.06M","44.38%"
"10/01/2023","7.03","5.79","7.70","4.77","2.82M","20.58%"
"09/01/2023","5.83","7.40","7.54","5.77","2.20M","-21.00%"
"08/01/2023","7.38","8.19","8.36","6.35","3.06M","-10.44%"
"07/01/2023","8.24","7.97","8.95","6.90","2.14M","4.44%"
"06/01/2023","7.89","8.84","10.86","7.80","2.63M","-11.05%"
"05/01/2023","8.87","7.49","9.59","7.35","4.15M","19.06%"
"04/01/2023","7.45","6.19","7.60","5.60","2.81M","23.34%"
"03/01/2023","6.04","4.91","6.09","4.51","870.70K","21.29%"
"02/01/2023","4.98","5.30","5.43","4.78","405.32K","-6.74%"
"01/01/2023","5.34","4.49","5.61","4.41","1.81M","20.00%"
"12/01/2022","4.45","5.33","5.49","4.10","670.53K","-16.82%"
"11/01/2022","5.35","5.29","6.70","4.96","511.43K","2.69%"
"10/01/2022","5.21","4.54","5.35","4.22","484.79K","17.61%"
"09/01/2022","4.43","5.76","6.02","4.43","693.42K","-24.01%"
"08/01/2022","5.83","5.60","6.48","5.15","2.32M","14.54%"
"07/01/2022","5.09","6.03","7.08","5.05","1.35M","-16.01%"
